Угол, град - ДН	Сигнал детектора, о.е. - ДН	
40	0.0293286	
40	0.0299111	
40	0.0304108	
40	0.0304308	
41	0.029905	
41	0.0297921	
41	0.0295614	
41	0.0293829	
41	0.0302606	
42	0.0313206	
42	0.0317759	
42	0.0325974	
42	0.0330097	
42	0.0329316	
42	0.0329621	
43	0.0331888	
43	0.0333936	
43	0.0334185	
43	0.0339725	
43	0.0347512	
44	0.0353188	
44	0.0352257	
44	0.0362543	
44	0.0368427	
44	0.0369969	
44	0.0368642	
45	0.0355324	
45	0.0364342	
45	0.0370621	
45	0.0362386	
45	0.0353002	
46	0.0357242	
46	0.0357798	
46	0.0345431	
46	0.0342446	
46	0.0341206	
46	0.0348792	
47	0.0345305	
47	0.0346893	
47	0.0353568	
47	0.0352458	
47	0.0354779	
48	0.0358074	
48	0.0357417	
48	0.0364529	
48	0.0362332	
48	0.0362776	
48	0.0354888	
49	0.0347734	
49	0.0341227	
49	0.0332206	
49	0.0322397	
49	0.0316456	
50	0.0307365	
50	0.0298277	
50	0.028905	
50	0.0283268	
50	0.0276187	
50	0.0271178	
51	0.0257707	
51	0.0257057	
51	0.0251459	
51	0.0245434	
51	0.0239031	
51	0.0232179	
52	0.0225873	
52	0.0218243	
52	0.0210207	
52	0.0204513	
52	0.0193406	
53	0.0192582	
53	0.0184641	
53	0.0180269	
53	0.0171747	
53	0.0165187	
53	0.0161693	
54	0.0154589	
54	0.0150418	
54	0.0146309	
54	0.0144022	
54	0.0134906	
55	0.0127324	
55	0.0124662	
55	0.0123315	
55	0.0118119	
55	0.0115652	
55	0.0111197	
56	0.011052	
56	0.0108339	
56	0.0104851	
56	0.0103068	
56	0.0103626	
57	0.0098157	
57	0.0094361	
57	0.00925908	
57	0.00886409	
57	0.00865526	
57	0.00848948	
58	0.00824732	
58	0.00789507	
58	0.00741521	
58	0.00722855	
58	0.00697476	
58	0.00670033	
59	0.00648712	
59	0.0061268	
59	0.00599915	
59	0.00579105	
59	0.00541944	
60	0.00537321	
60	0.00498432	
60	0.00471653	
60	0.00474605	
60	0.00446309	
60	0.00424275	
61	0.00406699	
61	0.00376211	
61	0.00350674	
61	0.00341769	
61	0.00331075	
62	0.00315607	
62	0.00276784	
62	0.00266707	
62	0.00265578	
62	0.00233205	
62	0.00233642	
63	0.00209381	
63	0.00204159	
63	0.00200109	
63	0.00190164	
63	0.00176012	
64	0.00173363	
64	0.00171388	
64	0.00156508	
64	0.00156666	
64	0.00135289	
64	0.00118157	
65	0.00138768	
65	0.00125919	
65	0.0015202	
65	0.00121211	
65	0.00132547	
66	0.00140349	
66	0.00122721	
66	0.00124596	
66	0.00137953	
66	0.00142919	
66	0.00138471	
67	0.00129663	
67	0.00131452	
67	0.00125521	
67	0.00130357	
67	0.00108982	
68	0.00124196	
68	0.00108693	
68	0.00119903	
68	0.00109433	
68	0.000950851	
68	0.000898869	
69	0.00105064	
69	0.000789358	
69	0.000971135	
69	0.000823064	
69	0.000630336	
69	0.000842937	
70	0.000617927	
70	0.000581495	
70	0.000607659	
70	0.000468749	
70	0.000565371	
71	0.000522152	
71	0.000482599	
71	0.000480897	
71	0.000338909	
71	0.000329703	
71	0.000416366	
72	0.000411125	
72	0.000311032	
72	0.000403951	
72	0.000398174	
72	0.000370488	
73	0.000343878	
73	0.000306008	
73	0.000419922	
73	0.000436765	
73	0.000290413	
73	0.000483243	
74	0.000440155	
74	0.000444343	
74	0.000597088	
74	0.000547279	
74	0.000740101	
75	0.000800975	
75	0.000698646	
75	0.000979341	
75	0.000890745	
75	0.00105649	
75	0.00101696	
76	0.00100294	
76	0.0011597	
76	0.00137867	
76	0.00128111	
76	0.00152983	
76	0.00150478	
77	0.00167541	
77	0.0015805	
77	0.00169951	
77	0.00160942	
77	0.00172054	
78	0.00161557	
78	0.00140422	
78	0.00132554	
78	0.00114381	
78	0.00133827	
78	0.00108423	
79	0.00100614	
79	0.00104819	
79	0.00083083	
79	0.000900238	
79	0.000607903	
80	0.000538257	
80	0.000546043	
80	0.000469416	
80	0.000313498	
80	0.000500388	
80	0.000410747	
81	0.000440262	
81	0.000497979	
81	0.000521896	
81	0.000473373	
81	0.000453481	
82	0.000444939	
82	0.000672752	
82	0.000522473	
82	0.000761796	
82	0.000914511	
82	0.000905365	
83	0.00104647	
83	0.00119844	
83	0.00126616	
83	0.00141161	
83	0.00163258	
84	0.00157742	
84	0.00172459	
84	0.00176983	
84	0.00172682	
84	0.00186978	
84	0.0017979	
85	0.0018552	
85	0.00193854	
85	0.00180805	
85	0.00182928	
85	0.00173931	
86	0.00152539	
86	0.00163909	
86	0.00141424	
86	0.00138871	
86	0.00141652	
86	0.00128323	
87	0.00122813	
87	0.00106576	
87	0.00102809	
87	0.000951894	
87	0.000961072	
87	0.000853833	
88	0.000718845	
88	0.000655725	
88	0.000566162	
88	0.000543987	
88	0.00041926	
89	0.000363556	
89	0.000433042	
89	0.000400228	
89	0.000368846	
89	0.000458382	
89	0.000363543	
90	0.00037381	
90	0.000306391	
