Óãîë, ãðàä - ÄÍ	Ñèãíàë äåòåêòîðà, î.å. - ÄÍ	
-90	0.025555	
-90	0.0268958	
-90	0.0270106	
-89	0.0277022	
-89	0.0282952	
-89	0.0279417	
-89	0.0283704	
-89	0.0284216	
-89	0.0281058	
-88	0.0284289	
-88	0.0285328	
-88	0.0280074	
-88	0.0281175	
-88	0.0285304	
-87	0.0274353	
-87	0.0286798	
-87	0.0284757	
-87	0.0282998	
-87	0.0282385	
-87	0.0286446	
-86	0.0284291	
-86	0.028394	
-86	0.0280174	
-86	0.0281223	
-86	0.0276348	
-86	0.0280651	
-85	0.0279023	
-85	0.0276602	
-85	0.0274001	
-85	0.0278245	
-85	0.0269871	
-84	0.0271732	
-84	0.0267635	
-84	0.0262023	
-84	0.026349	
-84	0.0259041	
-84	0.0255247	
-83	0.0249115	
-83	0.0244594	
-83	0.0234165	
-83	0.0232064	
-83	0.021989	
-82	0.021083	
-82	0.0201999	
-82	0.0193726	
-82	0.0185302	
-82	0.0174825	
-82	0.0163306	
-81	0.0154059	
-81	0.0142212	
-81	0.0133113	
-81	0.0124942	
-81	0.0117733	
-80	0.0111486	
-80	0.0104718	
-80	0.00996296	
-80	0.00987352	
-80	0.00924488	
-80	0.00912463	
-79	0.00867357	
-79	0.00902826	
-79	0.00900704	
-79	0.00851088	
-79	0.00873049	
-78	0.00853275	
-78	0.00843565	
-78	0.00869658	
-78	0.00887188	
-78	0.00893976	
-78	0.00969865	
-77	0.00990425	
-77	0.0102721	
-77	0.0107883	
-77	0.0110059	
-77	0.0112678	
-76	0.0117826	
-76	0.0119529	
-76	0.0124235	
-76	0.0123974	
-76	0.0124116	
-76	0.0126371	
-75	0.0125679	
-75	0.0124283	
-75	0.0124625	
-75	0.01235	
-75	0.0122297	
-75	0.0121196	
-74	0.0117205	
-74	0.0119114	
-74	0.0116232	
-74	0.0112851	
-74	0.0112985	
-73	0.0110244	
-73	0.0107898	
-73	0.0110066	
-73	0.010856	
-73	0.0105019	
-73	0.011045	
-72	0.0111685	
-72	0.0113554	
-72	0.0116204	
-72	0.0121026	
-72	0.0125137	
-71	0.0127851	
-71	0.0130738	
-71	0.0136508	
-71	0.0138569	
-71	0.0144021	
-71	0.0146955	
-70	0.0151388	
-70	0.0155507	
-70	0.0155358	
-70	0.015807	
-70	0.0157706	
-69	0.015505	
-69	0.0153576	
-69	0.0151227	
-69	0.0146568	
-69	0.0142873	
-69	0.0137152	
-68	0.0132673	
-68	0.0125375	
-68	0.0119323	
-68	0.0111581	
-68	0.0103907	
-68	0.00952779	
-67	0.00871826	
-67	0.00817533	
-67	0.00728156	
-67	0.00651335	
-67	0.00564092	
-66	0.00517225	
-66	0.00460066	
-66	0.00410269	
-66	0.00376464	
-66	0.00302358	
-66	0.00292391	
-65	0.0026406	
-65	0.00215931	
-65	0.00188812	
-65	0.00187143	
-65	0.00148798	
-64	0.00170554	
-64	0.00139128	
-64	0.00142831	
-64	0.00160668	
-64	0.00163225	
-64	0.00177504	
-63	0.002023	
-63	0.00181418	
-63	0.00201692	
-63	0.00224865	
-63	0.0024134	
-62	0.00242771	
-62	0.00254146	
-62	0.00273026	
-62	0.00286534	
-62	0.0028404	
-62	0.0029445	
-61	0.00316791	
-61	0.0031905	
-61	0.00342897	
-61	0.00353022	
-61	0.00359679	
-60	0.00391449	
-60	0.00399396	
-60	0.00405053	
-60	0.00425648	
-60	0.00405691	
-60	0.00408622	
-59	0.00429988	
-59	0.00390772	
-59	0.00417185	
-59	0.00435865	
-59	0.00429234	
-58	0.00475345	
-58	0.00504268	
-58	0.00501032	
-58	0.00524021	
-58	0.00526875	
-58	0.00555783	
-57	0.00590745	
-57	0.0060304	
-57	0.00614427	
-57	0.00629334	
-57	0.00635735	
-57	0.00647922	
-56	0.00622004	
-56	0.00631474	
-56	0.00622187	
-56	0.00584655	
-56	0.00563556	
-55	0.00539043	
-55	0.00493323	
-55	0.00432294	
-55	0.00404308	
-55	0.00351008	
-55	0.00317709	
-54	0.00274209	
-54	0.00239171	
-54	0.00206289	
-54	0.0016873	
-54	0.00141261	
-53	0.0011583	
-53	0.000785351	
-53	0.000638589	
-53	0.00059553	
-53	0.000455181	
-53	0.000449672	
-52	0.000487706	
-52	0.000662001	
-52	0.000700133	
-52	0.000759292	
-52	0.0010461	
-51	0.0014738	
-51	0.00192627	
-51	0.00250612	
-51	0.00300235	
-51	0.0036985	
-51	0.0045107	
-50	0.00508444	
-50	0.00612637	
-50	0.00688252	
-50	0.00770829	
-50	0.0085817	
-50	0.00916886	
-49	0.00991968	
-49	0.01116	
-49	0.0117682	
-49	0.0128428	
-49	0.0137364	
-48	0.0142594	
-48	0.0150499	
-48	0.0157058	
-48	0.0161261	
-48	0.0167858	
-48	0.0172225	
-47	0.0178242	
-47	0.0182328	
-47	0.0181549	
-47	0.0185341	
-47	0.0188505	
-46	0.01887	
-46	0.0189158	
-46	0.0186156	
-46	0.018391	
-46	0.0181243	
-46	0.0176166	
-45	0.0169821	
-45	0.0163695	
-45	0.0155577	
-45	0.0150151	
-45	0.0141047	
-44	0.0131911	
-44	0.0122929	
-44	0.0113908	
-44	0.0105354	
-44	0.00956813	
-44	0.00851934	
-43	0.00735472	
-43	0.00625634	
-43	0.00540912	
-43	0.00481103	
-43	0.0039531	
-42	0.00335923	
-42	0.00259089	
-42	0.00192337	
-42	0.00156709	
-42	0.00132653	
-42	0.000993752	
-41	0.000966836	
-41	0.000853716	
-41	0.00122922	
-41	0.0014752	
-41	0.00200929	
-40	0.00252492	
-40	0.00340963	
-40	0.00409441	
-40	0.00500277	
-40	0.0061385	
-40	0.00710593	
-39	0.00835145	
-39	0.00994281	
-39	0.0112253	
-39	0.0125747	
-39	0.0137256	
-39	0.0154758	
-38	0.0169075	
-38	0.0180568	
-38	0.0196775	
-38	0.0209528	
-38	0.0223617	
-37	0.0234032	
-37	0.0245289	
-37	0.0256555	
-37	0.0263336	
-37	0.027321	
-37	0.0281402	
-36	0.0289623	
-36	0.0295112	
-36	0.0297333	
-36	0.0302805	
-36	0.0304604	
-35	0.0302345	
-35	0.0302155	
-35	0.0302801	
-35	0.0301471	
-35	0.0294387	
-35	0.0286508	
-34	0.0274775	
-34	0.0265836	
-34	0.0254213	
-34	0.0246033	
-34	0.0237912	
-33	0.0225458	
-33	0.0216558	
-33	0.0204113	
-33	0.0193301	
-33	0.0179064	
-33	0.016506	
-32	0.0151845	
-32	0.0138101	
-32	0.0123861	
-32	0.0109864	
-32	0.0098376	
-32	0.0084624	
-31	0.00750064	
-31	0.00653753	
-31	0.0053771	
-31	0.00454561	
-31	0.00359341	
-30	0.00288821	
-30	0.00245913	
-30	0.00180656	
-30	0.00153938	
-30	0.00152557	
-30	0.00141389	
-29	0.00177708	
-29	0.00193529	
-29	0.00149093	
-29	0.00178009	
-29	0.00247392	
-28	0.00374614	
-28	0.00562433	
-28	0.00676917	
-28	0.00836819	
-28	0.00993501	
-28	0.0105661	
-27	0.0116784	
-27	0.0136256	
-27	0.0157392	
-27	0.0178677	
-27	0.0199488	
-26	0.0216635	
-26	0.0235755	
-26	0.0265949	
-26	0.0305376	
-26	0.0333748	
-26	0.0349562	
-25	0.0341595	
-25	0.033506	
-25	0.0340598	
-25	0.035348	
-25	0.0341787	
-24	0.0347077	
-24	0.0362021	
-24	0.03657	
-24	0.0371131	
-24	0.0376647	
-24	0.0388875	
-23	0.0398038	
-23	0.0408083	
-23	0.0415934	
-23	0.0420422	
-23	0.0431259	
-22	0.0446844	
-22	0.0451901	
-22	0.0457323	
-22	0.0469216	
-22	0.0474535	
-22	0.0472444	
-21	0.0470423	
-21	0.0463749	
-21	0.0453431	
-21	0.0440787	
-21	0.0424238	
-21	0.0411231	
-20	0.0391074	
-20	0.0381619	
-20	0.0366018	
-20	0.0353511	
-20	0.0342432	
-19	0.0328798	
-19	0.0317903	
-19	0.0307787	
-19	0.0296438	
-19	0.0293955	
-19	0.0292402	
-18	0.02865	
-18	0.0285989	
-18	0.0286862	
-18	0.0295036	
-18	0.0302662	
-17	0.0307116	
-17	0.0315921	
-17	0.032521	
-17	0.032592	
-17	0.0330959	
-17	0.0334933	
-16	0.0339733	
-16	0.0338896	
-16	0.0341091	
-16	0.0343473	
-16	0.0348048	
-15	0.0350536	
-15	0.0354242	
-15	0.0356254	
-15	0.0356602	
-15	0.0354938	
-15	0.0356819	
-14	0.0360327	
-14	0.0359086	
-14	0.0355949	
-14	0.0355326	
-14	0.0351852	
-14	0.0348515	
-13	0.0341679	
-13	0.0336376	
-13	0.0328582	
-13	0.0322321	
-13	0.0316637	
-12	0.0312875	
-12	0.0309154	
-12	0.0305478	
-12	0.0306798	
-12	0.0308399	
-12	0.0311085	
-11	0.0315525	
-11	0.0318061	
-11	0.0321439	
-11	0.032611	
-11	0.0327467	
-10	0.0330228	
-10	0.0335648	
-10	0.0338756	
-10	0.0345041	
-10	0.0344962	
-10	0.0344031	
-9	0.0351458	
-9	0.0355013	
-9	0.0359093	
-9	0.036569	
-9	0.0369348	
-8	0.0370344	
-8	0.0371713	
-8	0.0366556	
-8	0.0365161	
-8	0.0361946	
-8	0.0357008	
-7	0.0350632	
-7	0.0351908	
-7	0.0342137	
-7	0.0335105	
-7	0.0320519	
-6	0.0305979	
-6	0.0294997	
-6	0.0285753	
-6	0.0270526	
-6	0.026192	
-6	0.0253626	
-5	0.025181	
-5	0.0259967	
-5	0.0265458	
-5	0.0272159	
-5	0.0282598	
-4	0.0312796	
-4	0.0348694	
-4	0.0398523	
-4	0.0456416	
-4	0.0522764	
-4	0.0611915	
-3	0.0713142	
-3	0.0833627	
-3	0.0974081	
-3	0.112759	
-3	0.129649	
-3	0.149262	
-2	0.170705	
-2	0.195478	
-2	0.220321	
-2	0.24709	
-2	0.277634	
-1	0.308107	
-1	0.342313	
-1	0.377071	
-1	0.412547	
-1	0.452529	
-1	0.492549	
-0	0.532263	
-0	0.57754	
0	0.619175	
0	0.66371	
0	0.71104	
1	0.755274	
1	0.808599	
1	0.855923	
1	0.904085	
1	0.95591	
1	1.00377	
2	1.05012	
2	1.10178	
2	1.14797	
2	1.19936	
2	1.24615	
3	1.29038	
3	1.3412	
3	1.38291	
3	1.42552	
3	1.47188	
3	1.50949	
4	1.54688	
4	1.58859	
4	1.6188	
4	1.65473	
4	1.68453	
4	1.71176	
5	1.7436	
5	1.76427	
5	1.78454	
5	1.80573	
5	1.81681	
6	1.83507	
6	1.84318	
6	1.84531	
6	1.85814	
6	1.85365	
6	1.85047	
7	1.85267	
7	1.8417	
7	1.83307	
7	1.82194	
7	1.80285	
8	1.7903	
8	1.76731	
8	1.74034	
8	1.72222	
8	1.68675	
8	1.65327	
9	1.62297	
9	1.58274	
9	1.54611	
9	1.50709	
9	1.46088	
10	1.42234	
10	1.37453	
10	1.32665	
10	1.28103	
10	1.22651	
10	1.17573	
11	1.12613	
11	1.07061	
11	1.01817	
11	0.961399	
11	0.907063	
12	0.855936	
12	0.801388	
12	0.746413	
12	0.69409	
12	0.643319	
12	0.595889	
13	0.548012	
13	0.498774	
13	0.454312	
13	0.41033	
13	0.366626	
14	0.328009	
14	0.289883	
14	0.25363	
14	0.221695	
14	0.190357	
14	0.162173	
15	0.136397	
15	0.11302	
15	0.0928534	
15	0.0748234	
15	0.059365	
15	0.0471724	
16	0.0365492	
16	0.0287519	
16	0.0229268	
16	0.0188871	
16	0.0172981	
17	0.0173149	
17	0.0188812	
17	0.0217336	
17	0.0258623	
17	0.0308056	
17	0.0367175	
18	0.0431987	
18	0.0506518	
18	0.058258	
18	0.0654184	
18	0.0729137	
19	0.0804165	
19	0.0878753	
19	0.0949739	
19	0.10238	
19	0.109366	
19	0.114892	
20	0.120317	
20	0.126461	
20	0.13147	
20	0.134823	
20	0.138807	
21	0.141064	
21	0.143802	
21	0.146326	
21	0.147143	
21	0.1475	
21	0.148292	
22	0.147419	
22	0.147411	
22	0.145249	
22	0.143261	
22	0.141167	
22	0.137768	
23	0.134555	
23	0.131071	
23	0.126422	
23	0.12257	
23	0.117582	
24	0.112893	
24	0.107691	
24	0.101975	
24	0.0966811	
24	0.0913444	
24	0.085958	
25	0.0801536	
25	0.0743474	
25	0.0688544	
25	0.0638883	
25	0.058473	
26	0.0532976	
26	0.0483809	
26	0.0436718	
26	0.0392786	
26	0.0348793	
26	0.030717	
27	0.0269672	
27	0.0235415	
27	0.0207072	
27	0.0179798	
27	0.0158217	
28	0.0140921	
28	0.0127649	
28	0.0118116	
28	0.0111436	
28	0.0108704	
28	0.0111295	
29	0.0114117	
29	0.0121819	
29	0.0131466	
29	0.0142307	
29	0.0159244	
30	0.0173787	
30	0.0190882	
30	0.0207611	
30	0.022699	
30	0.0246268	
30	0.0267016	
31	0.0284052	
31	0.0305036	
31	0.0323294	
31	0.0339196	
31	0.0355066	
32	0.0370074	
32	0.0380988	
32	0.0391478	
32	0.040117	
32	0.0409177	
32	0.041589	
33	0.0420277	
33	0.0422999	
33	0.0425004	
33	0.0423474	
33	0.0421056	
33	0.0417758	
34	0.0410865	
34	0.0402193	
34	0.0393447	
34	0.0384953	
34	0.0374323	
35	0.0363149	
35	0.0352186	
35	0.0340347	
35	0.0328137	
35	0.0315748	
35	0.0304428	
36	0.0291954	
36	0.0278209	
36	0.026532	
36	0.0253731	
36	0.0237962	
37	0.02261	
