Óãîë, ãðàä - ÄÍ	Ñèãíàë äåòåêòîðà, î.å. - ÄÍ	
-90	0.0388475	
-90	0.047431	
-90	0.0404139	
-89	0.0475385	
-89	0.0476068	
-89	0.0462121	
-89	0.0465063	
-89	0.0451655	
-89	0.0497913	
-88	0.0496964	
-88	0.0495655	
-88	0.0499102	
-88	0.0503076	
-88	0.0524146	
-87	0.0532283	
-87	0.055368	
-87	0.0547896	
-87	0.0593268	
-87	0.0590079	
-87	0.0618909	
-86	0.0621876	
-86	0.0617529	
-86	0.0639551	
-86	0.0661169	
-86	0.0637239	
-86	0.0623325	
-85	0.0638702	
-85	0.0668497	
-85	0.0681743	
-85	0.0686849	
-85	0.068646	
-84	0.0700389	
-84	0.0669812	
-84	0.0656455	
-84	0.0697754	
-84	0.0691156	
-84	0.0673063	
-83	0.0702756	
-83	0.070021	
-83	0.0774618	
-83	0.0722606	
-83	0.0722897	
-82	0.0692606	
-82	0.0742411	
-82	0.0732733	
-82	0.0803073	
-82	0.0774115	
-82	0.0731404	
-81	0.0813193	
-81	0.0812612	
-81	0.0825244	
-81	0.081103	
-81	0.0822634	
-80	0.0853123	
-80	0.082948	
-80	0.0833264	
-80	0.0897527	
-80	0.0932534	
-80	0.082302	
-79	0.087292	
-79	0.0903831	
-79	0.0886024	
-79	0.0910533	
-79	0.0911957	
-78	0.0925652	
-78	0.094951	
-78	0.0996351	
-78	0.0973463	
-78	0.0983107	
-78	0.0975017	
-77	0.0979485	
-77	0.09771	
-77	0.0936374	
-77	0.0946508	
-77	0.097036	
-76	0.0967591	
-76	0.0958861	
-76	0.0954996	
-76	0.0990766	
-76	0.101641	
-76	0.102247	
-75	0.106669	
-75	0.10178	
-75	0.103348	
-75	0.104252	
-75	0.104678	
-75	0.103873	
-74	0.106227	
-74	0.106934	
-74	0.107384	
-74	0.109848	
-74	0.113033	
-73	0.114412	
-73	0.114713	
-73	0.116264	
-73	0.11771	
-73	0.119167	
-73	0.119469	
-72	0.121308	
-72	0.119165	
-72	0.119299	
-72	0.119074	
-72	0.120497	
-71	0.123327	
-71	0.126778	
-71	0.127758	
-71	0.126814	
-71	0.126669	
-71	0.131519	
-70	0.13012	
-70	0.13067	
-70	0.12977	
-70	0.134075	
-70	0.13853	
-69	0.136609	
-69	0.138644	
-69	0.14432	
-69	0.135625	
-69	0.145704	
-69	0.153443	
-68	0.144498	
-68	0.136921	
-68	0.13565	
-68	0.141073	
-68	0.142393	
-68	0.147393	
-67	0.155267	
-67	0.155811	
-67	0.150347	
-67	0.155389	
-67	0.148476	
-66	0.158286	
-66	0.166731	
-66	0.167739	
-66	0.163983	
-66	0.170055	
-66	0.169679	
-65	0.17617	
-65	0.169221	
-65	0.169142	
-65	0.171562	
-65	0.167675	
-64	0.170308	
-64	0.179656	
-64	0.181069	
-64	0.180552	
-64	0.175952	
-64	0.177227	
-63	0.17936	
-63	0.184898	
-63	0.183589	
-63	0.184243	
-63	0.178116	
-62	0.187205	
-62	0.19986	
-62	0.200244	
-62	0.20311	
-62	0.203717	
-62	0.200812	
-61	0.204686	
-61	0.206964	
-61	0.199652	
-61	0.210245	
-61	0.216238	
-60	0.216859	
-60	0.210158	
-60	0.214685	
-60	0.216103	
-60	0.217665	
-60	0.215222	
-59	0.216355	
-59	0.227531	
-59	0.228667	
-59	0.239164	
-59	0.243423	
-58	0.249146	
-58	0.247723	
-58	0.245675	
-58	0.242585	
-58	0.250619	
-58	0.257718	
-57	0.257308	
-57	0.261666	
-57	0.263589	
-57	0.26811	
-57	0.27712	
-57	0.280125	
-56	0.27895	
-56	0.278558	
-56	0.276801	
-56	0.276461	
-56	0.274531	
-55	0.276516	
-55	0.2797	
-55	0.282609	
-55	0.285116	
-55	0.291284	
-55	0.299218	
-54	0.305615	
-54	0.302628	
-54	0.300606	
-54	0.303402	
-54	0.30922	
-53	0.310805	
-53	0.312548	
-53	0.320803	
-53	0.334057	
-53	0.341671	
-53	0.33121	
-52	0.349281	
-52	0.350438	
-52	0.354737	
-52	0.353694	
-52	0.349625	
-51	0.349054	
-51	0.350887	
-51	0.34404	
-51	0.337595	
-51	0.348811	
-51	0.365405	
-50	0.37222	
-50	0.362503	
-50	0.36714	
-50	0.378325	
-50	0.390974	
-50	0.383455	
-49	0.395126	
-49	0.395292	
-49	0.394938	
-49	0.391226	
-49	0.392992	
-48	0.404112	
-48	0.41406	
-48	0.420821	
-48	0.42366	
-48	0.425622	
-48	0.434353	
-47	0.440101	
-47	0.448564	
-47	0.446942	
-47	0.449025	
-47	0.444883	
-46	0.429198	
-46	0.436287	
-46	0.460597	
-46	0.43891	
-46	0.446069	
-46	0.439906	
-45	0.451735	
-45	0.455239	
-45	0.456015	
-45	0.468966	
-45	0.481573	
-44	0.488349	
-44	0.490209	
-44	0.48864	
-44	0.484827	
-44	0.492791	
-44	0.506843	
-43	0.514946	
-43	0.506007	
-43	0.507946	
-43	0.526582	
-43	0.534467	
-42	0.541437	
-42	0.550699	
-42	0.556489	
-42	0.548493	
-42	0.563236	
-42	0.565028	
-41	0.573855	
-41	0.558387	
-41	0.568443	
-41	0.575087	
-41	0.577398	
-40	0.591051	
-40	0.584754	
-40	0.608881	
-40	0.605176	
-40	0.610326	
-40	0.617871	
-39	0.609841	
-39	0.624964	
-39	0.636191	
-39	0.638435	
-39	0.650942	
-39	0.632597	
-38	0.619033	
-38	0.628732	
-38	0.648925	
-38	0.661705	
-38	0.669543	
-37	0.663991	
-37	0.676929	
-37	0.667327	
-37	0.669552	
-37	0.68016	
-37	0.692749	
-36	0.681084	
-36	0.683224	
-36	0.685118	
-36	0.682229	
-36	0.697363	
-35	0.711026	
-35	0.720408	
-35	0.708097	
-35	0.713682	
-35	0.737237	
-35	0.736998	
-34	0.752318	
-34	0.764811	
-34	0.761651	
-34	0.755795	
-34	0.760129	
-33	0.76732	
-33	0.774089	
-33	0.781092	
-33	0.77487	
-33	0.800081	
-33	0.786141	
-32	0.793286	
-32	0.798097	
-32	0.805197	
-32	0.808299	
-32	0.820857	
-32	0.823286	
-31	0.828827	
-31	0.820169	
-31	0.842445	
-31	0.851076	
-31	0.854666	
-30	0.853262	
-30	0.870678	
-30	0.876682	
-30	0.864639	
-30	0.87008	
-30	0.884783	
-29	0.885648	
-29	0.894446	
-29	0.894343	
-29	0.914368	
-29	0.925213	
-28	0.927443	
-28	0.935222	
-28	0.935327	
-28	0.941358	
-28	0.947224	
-28	0.940921	
-27	0.965878	
-27	0.986453	
-27	0.991643	
-27	0.993922	
-27	0.991002	
-26	0.979516	
-26	1.00047	
-26	1.0113	
-26	1.0113	
-26	1.01455	
-26	1.01581	
-25	1.03339	
-25	1.03058	
-25	1.02562	
-25	1.03197	
-25	1.0147	
-24	1.04423	
-24	1.06317	
-24	1.06469	
-24	1.05596	
-24	1.06592	
-24	1.05963	
-23	1.0422	
-23	1.06009	
-23	1.07707	
-23	1.07294	
-23	1.07844	
-22	1.06411	
-22	1.05047	
-22	1.06778	
-22	1.06673	
-22	1.05746	
-22	1.07084	
-21	1.06488	
-21	1.05966	
-21	1.0955	
-21	1.08089	
-21	1.08874	
-21	1.08798	
-20	1.08947	
-20	1.10907	
-20	1.09576	
-20	1.10692	
-20	1.1213	
-19	1.12403	
-19	1.14721	
-19	1.1399	
-19	1.16915	
-19	1.16088	
-19	1.17503	
-18	1.18225	
-18	1.18681	
-18	1.20628	
-18	1.21701	
-18	1.23495	
-17	1.23367	
-17	1.24866	
-17	1.24696	
-17	1.25921	
-17	1.27694	
-17	1.25596	
-16	1.28925	
-16	1.28846	
-16	1.2865	
-16	1.29945	
-16	1.30213	
-15	1.31029	
-15	1.31859	
-15	1.30882	
-15	1.3225	
-15	1.32654	
-15	1.32407	
-14	1.31968	
-14	1.31095	
-14	1.29944	
-14	1.31341	
-14	1.32524	
-14	1.3225	
-13	1.32112	
-13	1.31747	
-13	1.31882	
-13	1.33236	
-13	1.33567	
-12	1.31523	
-12	1.3308	
-12	1.32241	
-12	1.33133	
-12	1.35447	
-12	1.34544	
-11	1.3458	
-11	1.34825	
-11	1.34582	
-11	1.34885	
-11	1.35003	
-10	1.34982	
-10	1.34546	
-10	1.36238	
-10	1.35845	
-10	1.3573	
-10	1.3704	
-9	1.36132	
-9	1.36876	
-9	1.37118	
-9	1.37591	
-9	1.37267	
-8	1.3901	
-8	1.37403	
-8	1.38239	
-8	1.37828	
-8	1.3904	
-8	1.38322	
-7	1.39476	
-7	1.38392	
-7	1.39989	
-7	1.41223	
-7	1.41202	
-6	1.41122	
-6	1.41478	
-6	1.41021	
-6	1.39238	
-6	1.39596	
-6	1.4135	
-5	1.38741	
-5	1.41609	
-5	1.40092	
-5	1.41437	
-5	1.40945	
-4	1.4277	
-4	1.42207	
-4	1.41703	
-4	1.42389	
-4	1.43284	
-4	1.41159	
-3	1.40792	
-3	1.42951	
-3	1.41053	
-3	1.41536	
-3	1.41017	
-3	1.41224	
-2	1.42977	
-2	1.41714	
-2	1.41018	
-2	1.41264	
-2	1.42215	
-1	1.41616	
-1	1.41258	
-1	1.4286	
-1	1.42252	
-1	1.41253	
-1	1.42994	
-0	1.41116	
-0	1.42368	
0	1.41773	
0	1.40736	
0	1.40902	
1	1.41615	
1	1.41468	
1	1.41887	
1	1.43551	
1	1.41819	
1	1.42392	
2	1.42387	
2	1.43187	
2	1.43101	
2	1.43576	
2	1.4401	
3	1.44615	
3	1.44887	
3	1.44368	
3	1.44559	
3	1.44566	
3	1.44065	
4	1.43174	
4	1.45123	
4	1.43514	
4	1.44752	
4	1.44871	
4	1.44633	
5	1.45494	
5	1.45909	
5	1.45036	
5	1.46656	
5	1.44555	
6	1.45277	
6	1.46309	
6	1.46176	
6	1.45862	
6	1.46767	
6	1.46725	
7	1.47355	
7	1.46802	
7	1.4557	
7	1.45518	
7	1.47144	
8	1.47273	
8	1.47271	
8	1.48172	
8	1.47544	
8	1.46546	
8	1.46598	
9	1.47385	
9	1.47379	
9	1.47674	
9	1.469	
9	1.46749	
10	1.46701	
10	1.45525	
10	1.45882	
10	1.46001	
10	1.44781	
10	1.44608	
11	1.45245	
11	1.4468	
11	1.44216	
11	1.43843	
11	1.431	
12	1.43717	
12	1.43558	
12	1.42886	
12	1.42634	
12	1.42849	
12	1.43353	
13	1.42505	
13	1.42336	
13	1.41918	
13	1.41991	
13	1.42597	
14	1.42258	
14	1.43005	
14	1.424	
14	1.4199	
14	1.42755	
14	1.42356	
15	1.41904	
15	1.43449	
15	1.43198	
15	1.42701	
15	1.43891	
15	1.4274	
16	1.42913	
16	1.43139	
16	1.42839	
16	1.42138	
16	1.43002	
17	1.41397	
17	1.41085	
17	1.41383	
17	1.40675	
17	1.39745	
17	1.39794	
18	1.38246	
18	1.37754	
18	1.37226	
18	1.3607	
18	1.3554	
19	1.3524	
19	1.34082	
19	1.339	
19	1.32685	
19	1.3201	
19	1.31254	
20	1.30418	
20	1.29493	
20	1.28919	
20	1.28275	
20	1.27528	
21	1.27025	
21	1.25803	
21	1.24888	
21	1.24837	
21	1.25056	
21	1.23451	
22	1.23271	
22	1.22629	
22	1.22175	
22	1.22783	
22	1.22488	
22	1.21841	
23	1.22014	
23	1.21804	
23	1.21653	
23	1.22426	
23	1.2181	
24	1.2135	
24	1.21345	
24	1.20754	
24	1.21226	
24	1.20799	
24	1.19446	
25	1.19413	
25	1.19106	
25	1.18537	
25	1.17466	
25	1.16892	
26	1.16523	
26	1.15757	
26	1.14876	
26	1.13716	
26	1.12932	
26	1.11959	
27	1.10879	
27	1.10075	
27	1.0979	
27	1.08344	
27	1.08007	
28	1.0692	
28	1.06733	
28	1.06314	
28	1.05204	
28	1.04549	
28	1.04057	
29	1.0361	
29	1.0326	
29	1.02878	
29	1.02433	
29	1.0216	
30	1.02368	
30	1.01777	
30	1.01565	
30	1.01586	
30	1.01206	
30	1.00817	
31	1.00952	
31	1.00337	
31	0.99282	
31	0.993275	
31	0.989695	
32	0.986311	
32	0.986256	
32	0.974303	
32	0.969681	
32	0.96977	
32	0.961997	
33	0.955142	
33	0.95528	
33	0.949776	
33	0.942888	
33	0.937943	
33	0.93694	
34	0.930817	
34	0.923668	
34	0.917276	
34	0.913455	
34	0.909019	
35	0.900198	
35	0.897776	
35	0.887781	
35	0.87899	
35	0.87521	
35	0.867188	
36	0.861648	
36	0.857347	
36	0.850262	
36	0.842221	
36	0.837759	
37	0.829025	
37	0.822148	
37	0.821972	
37	0.817368	
37	0.802394	
37	0.803622	
38	0.799964	
38	0.788962	
38	0.79078	
38	0.782138	
38	0.777832	
39	0.774222	
39	0.769421	
39	0.763089	
39	0.755432	
39	0.746641	
39	0.743324	
40	0.743881	
40	0.73612	
40	0.727028	
40	0.722952	
40	0.713158	
40	0.70532	
41	0.707657	
41	0.698276	
41	0.695571	
41	0.690519	
41	0.686115	
42	0.682835	
42	0.683269	
42	0.675378	
42	0.676872	
42	0.675153	
42	0.671962	
43	0.668757	
43	0.665391	
43	0.663508	
43	0.661441	
43	0.655769	
44	0.652939	
44	0.64849	
44	0.648189	
44	0.637971	
44	0.633961	
44	0.627395	
45	0.620143	
45	0.619045	
45	0.615069	
45	0.612152	
45	0.608787	
46	0.603821	
46	0.599689	
46	0.598431	
46	0.593106	
46	0.586208	
46	0.586086	
47	0.579167	
47	0.573999	
47	0.570248	
47	0.563025	
47	0.557956	
48	0.553974	
48	0.547601	
48	0.53867	
48	0.533416	
48	0.528039	
48	0.523394	
49	0.520373	
49	0.513313	
49	0.505224	
49	0.506419	
49	0.49966	
50	0.495141	
50	0.491864	
50	0.486361	
50	0.483449	
50	0.481743	
50	0.472111	
51	0.468327	
51	0.465771	
51	0.46437	
51	0.459329	
51	0.456185	
51	0.453187	
52	0.450124	
52	0.444985	
52	0.441787	
52	0.440378	
52	0.438462	
53	0.432368	
53	0.431944	
53	0.425744	
53	0.422438	
53	0.420776	
53	0.417884	
54	0.411806	
54	0.408603	
54	0.405867	
54	0.401006	
54	0.399415	
55	0.396245	
55	0.392158	
55	0.388151	
55	0.383189	
55	0.378984	
55	0.377044	
56	0.374612	
56	0.367005	
56	0.368527	
56	0.361087	
56	0.359202	
57	0.356363	
57	0.348726	
57	0.349722	
57	0.348827	
57	0.34268	
57	0.339392	
58	0.337093	
58	0.335567	
58	0.33383	
58	0.334975	
58	0.33327	
58	0.329591	
59	0.328018	
59	0.325882	
59	0.324453	
59	0.318776	
59	0.316125	
60	0.313492	
60	0.30898	
60	0.306842	
60	0.302478	
60	0.297249	
60	0.29382	
61	0.290021	
61	0.287094	
61	0.28221	
61	0.280712	
61	0.277306	
62	0.273399	
62	0.275464	
62	0.27317	
62	0.268693	
62	0.264949	
62	0.263018	
63	0.259826	
63	0.259613	
63	0.259394	
63	0.257087	
63	0.252537	
64	0.250504	
64	0.248903	
64	0.246117	
64	0.242854	
64	0.239493	
64	0.239389	
65	0.237485	
65	0.236851	
65	0.234907	
65	0.232976	
65	0.230757	
66	0.229737	
66	0.226415	
66	0.224815	
66	0.22121	
66	0.218217	
66	0.216853	
67	0.213787	
67	0.212695	
67	0.209489	
67	0.208387	
67	0.204914	
68	0.203547	
68	0.203293	
68	0.201038	
68	0.197947	
68	0.196321	
68	0.195283	
69	0.193409	
69	0.192106	
69	0.191311	
69	0.188839	
69	0.185487	
69	0.186255	
70	0.186095	
70	0.183118	
70	0.180863	
70	0.177681	
70	0.177118	
71	0.174365	
71	0.1724	
71	0.170559	
71	0.167688	
71	0.16691	
71	0.164556	
72	0.165596	
72	0.164229	
72	0.161423	
72	0.160896	
72	0.160703	
73	0.159826	
73	0.15856	
73	0.156781	
73	0.155708	
73	0.152671	
73	0.150531	
74	0.148568	
74	0.147878	
74	0.145301	
74	0.142236	
74	0.142869	
75	0.143797	
75	0.140838	
75	0.140802	
75	0.140215	
75	0.138896	
75	0.139077	
76	0.138069	
76	0.137513	
76	0.135314	
76	0.132652	
76	0.131229	
76	0.129563	
77	0.127734	
77	0.126082	
77	0.125153	
77	0.122689	
77	0.119924	
78	0.120292	
78	0.118305	
78	0.115253	
78	0.113747	
78	0.112536	
