Óãîë, ãðàä - ÄÍ	Ñèãíàë äåòåêòîðà, î.å. - ÄÍ	
-90	0.0121633	
-90	0.00300425	
-90	0.00333532	
-89	0.00336598	
-89	0.00320918	
-89	0.0029225	
-89	0.00353537	
-89	0.00294861	
-89	0.0025833	
-88	0.00248258	
-88	0.0025242	
-88	0.00251382	
-88	0.00340459	
-88	0.0025666	
-87	0.00220189	
-87	0.00323071	
-87	0.00324809	
-87	0.00219743	
-87	0.00257743	
-87	0.00220917	
-86	0.00264075	
-86	0.00203271	
-86	0.00230106	
-86	0.00273832	
-86	0.00214003	
-86	0.0027564	
-85	0.00242464	
-85	0.0025249	
-85	0.00273592	
-85	0.00312135	
-85	0.00327543	
-84	0.00340843	
-84	0.00299139	
-84	0.00322581	
-84	0.00326316	
-84	0.00375156	
-84	0.00361037	
-83	0.00253014	
-83	0.00231171	
-83	0.00252347	
-83	0.00240683	
-83	0.00286037	
-82	0.00401871	
-82	0.00306544	
-82	0.00361623	
-82	0.00387833	
-82	0.00345571	
-82	0.00347689	
-81	0.00369069	
-81	0.00384475	
-81	0.00398594	
-81	0.00360216	
-81	0.00352512	
-80	0.00389291	
-80	0.00373753	
-80	0.00364025	
-80	0.00410143	
-80	0.0036607	
-80	0.00341995	
-79	0.00406176	
-79	0.00400983	
-79	0.00314279	
-79	0.0036518	
-79	0.00351559	
-78	0.00336	
-78	0.00347983	
-78	0.00378652	
-78	0.00501447	
-78	0.00419255	
-78	0.00457646	
-77	0.00403854	
-77	0.00375957	
-77	0.00358606	
-77	0.00434689	
-77	0.00535607	
-76	0.00432922	
-76	0.00336836	
-76	0.0053141	
-76	0.00547796	
-76	0.00421349	
-76	0.00421897	
-75	0.00405532	
-75	0.00497825	
-75	0.00491548	
-75	0.0047078	
-75	0.00465899	
-75	0.00519621	
-74	0.00581398	
-74	0.00472283	
-74	0.00506452	
-74	0.00544412	
-74	0.00657131	
-73	0.00550788	
-73	0.00500334	
-73	0.00609935	
-73	0.00576395	
-73	0.0053384	
-73	0.00611687	
-72	0.00581557	
-72	0.00540742	
-72	0.0055509	
-72	0.00609244	
-72	0.00645659	
-71	0.00488476	
-71	0.00502358	
-71	0.00450967	
-71	0.00515995	
-71	0.00627553	
-71	0.00629428	
-70	0.00564011	
-70	0.00650623	
-70	0.00557336	
-70	0.00540809	
-70	0.00527796	
-69	0.00579916	
-69	0.00692245	
-69	0.00671559	
-69	0.00563541	
-69	0.00729699	
-69	0.00679737	
-68	0.00675893	
-68	0.00691158	
-68	0.00683638	
-68	0.00713076	
-68	0.00644253	
-68	0.0067212	
-67	0.00906753	
-67	0.00837762	
-67	0.00777549	
-67	0.0067883	
-67	0.00742111	
-66	0.00721095	
-66	0.00727073	
-66	0.00909878	
-66	0.0105547	
-66	0.0100484	
-66	0.00774182	
-65	0.00815176	
-65	0.00810073	
-65	0.0102625	
-65	0.00827749	
-65	0.00811665	
-64	0.00865905	
-64	0.00835919	
-64	0.00873625	
-64	0.00845479	
-64	0.00733048	
-64	0.00899821	
-63	0.00920441	
-63	0.0101668	
-63	0.00966782	
-63	0.00952908	
-63	0.00965256	
-62	0.00962009	
-62	0.00834406	
-62	0.00886668	
-62	0.00909281	
-62	0.00949439	
-62	0.00982558	
-61	0.010486	
-61	0.0108078	
-61	0.0105527	
-61	0.0108899	
-61	0.0111736	
-60	0.0104252	
-60	0.0106598	
-60	0.0106897	
-60	0.0120693	
-60	0.0103192	
-60	0.0113995	
-59	0.0114027	
-59	0.0118905	
-59	0.0115096	
-59	0.0101633	
-59	0.0108525	
-58	0.0125993	
-58	0.0129235	
-58	0.0111194	
-58	0.0140452	
-58	0.0155029	
-58	0.0149593	
-57	0.0145495	
-57	0.0137537	
-57	0.0154699	
-57	0.0133777	
-57	0.016184	
-57	0.0137046	
-56	0.0131821	
-56	0.012407	
-56	0.0139016	
-56	0.0156538	
-56	0.0149656	
-55	0.0137868	
-55	0.0151058	
-55	0.0131385	
-55	0.0151312	
-55	0.0157561	
-55	0.014433	
-54	0.0152425	
-54	0.0171408	
-54	0.0176062	
-54	0.0162187	
-54	0.0168148	
-53	0.0155362	
-53	0.0154054	
-53	0.015898	
-53	0.0164683	
-53	0.016642	
-53	0.016867	
-52	0.0158513	
-52	0.018632	
-52	0.0183221	
-52	0.0198685	
-52	0.0212671	
-51	0.0184098	
-51	0.0193081	
-51	0.0172453	
-51	0.018893	
-51	0.0196125	
-51	0.0197062	
-50	0.0173405	
-50	0.0163288	
-50	0.0179873	
-50	0.0172872	
-50	0.0156547	
-50	0.0169642	
-49	0.0198443	
-49	0.0216461	
-49	0.0201803	
-49	0.0178471	
-49	0.0158065	
-48	0.0171144	
-48	0.0162795	
-48	0.0177964	
-48	0.0182589	
-48	0.01762	
-48	0.0155847	
-47	0.015658	
-47	0.0176835	
-47	0.015772	
-47	0.0178354	
-47	0.0180944	
-46	0.0182386	
-46	0.0188243	
-46	0.0183689	
-46	0.0153196	
-46	0.0151244	
-46	0.0136984	
-45	0.013618	
-45	0.0142436	
-45	0.0145947	
-45	0.0151888	
-45	0.016571	
-44	0.0180621	
-44	0.0174412	
-44	0.0187946	
-44	0.0184528	
-44	0.0158289	
-44	0.0151585	
-43	0.0193624	
-43	0.0191746	
-43	0.0184838	
-43	0.0170334	
-43	0.014929	
-42	0.0181193	
-42	0.0184874	
-42	0.0179488	
-42	0.016369	
-42	0.0140604	
-42	0.0139759	
-41	0.0162029	
-41	0.0149269	
-41	0.0157737	
-41	0.0219864	
-41	0.0222186	
-40	0.0214496	
-40	0.021556	
-40	0.022071	
-40	0.0241335	
-40	0.0224756	
-40	0.0219876	
-39	0.0252213	
-39	0.0260435	
-39	0.0282212	
-39	0.0305143	
-39	0.0357587	
-39	0.0363057	
-38	0.0361085	
-38	0.0379813	
-38	0.0400787	
-38	0.0400272	
-38	0.0370728	
-37	0.0341158	
-37	0.0388771	
-37	0.040496	
-37	0.04773	
-37	0.0465654	
-37	0.0467576	
-36	0.0474518	
-36	0.0512334	
-36	0.0520216	
-36	0.0499189	
-36	0.0532684	
-35	0.0555945	
-35	0.060476	
-35	0.0622654	
-35	0.064679	
-35	0.0702168	
-35	0.0654965	
-34	0.0693951	
-34	0.0745868	
-34	0.0788467	
-34	0.0774487	
-34	0.0730477	
-33	0.0734952	
-33	0.08066	
-33	0.0865188	
-33	0.0876872	
-33	0.090661	
-33	0.0933494	
-32	0.0977636	
-32	0.100336	
-32	0.10151	
-32	0.108539	
-32	0.112169	
-32	0.115122	
-31	0.116187	
-31	0.118509	
-31	0.120502	
-31	0.125222	
