Óãîë, ãðàä - ÄÍ	Ñèãíàë äåòåêòîðà, î.å. - ÄÍ	
-90	0.00863793	
-90	0.00900988	
-90	0.0090671	
-89	0.00901829	
-89	0.00944571	
-89	0.00957282	
-89	0.00959543	
-89	0.00980691	
-89	0.0104008	
-88	0.0107228	
-88	0.0102652	
-88	0.0106314	
-88	0.010903	
-88	0.0117355	
-87	0.0121111	
-87	0.0121995	
-87	0.0121514	
-87	0.0124647	
-87	0.012716	
-87	0.0130256	
-86	0.0133494	
-86	0.013062	
-86	0.0134455	
-86	0.0134111	
-86	0.0129907	
-86	0.013094	
-85	0.0134946	
-85	0.013688	
-85	0.013978	
-85	0.0142751	
-85	0.0145027	
-84	0.0143797	
-84	0.0147535	
-84	0.0149458	
-84	0.0143893	
-84	0.0139331	
-84	0.0142424	
-83	0.014457	
-83	0.0143058	
-83	0.0143057	
-83	0.0142121	
-83	0.0144783	
-82	0.0154968	
-82	0.0157145	
-82	0.0163587	
-82	0.0166797	
-82	0.0170997	
-82	0.0176653	
-81	0.0177087	
-81	0.0176819	
-81	0.0180327	
-81	0.0182286	
-81	0.0181685	
-80	0.0185578	
-80	0.0186282	
-80	0.0186774	
-80	0.0191377	
-80	0.0192626	
-80	0.0198411	
-79	0.0196858	
-79	0.0202067	
-79	0.0206578	
-79	0.0207654	
-79	0.0213963	
-78	0.0220124	
-78	0.0222713	
-78	0.0226052	
-78	0.0227639	
-78	0.0229119	
-78	0.0229873	
-77	0.0233773	
-77	0.0236511	
-77	0.0240952	
-77	0.0247018	
-77	0.0247252	
-76	0.0248015	
-76	0.0255087	
-76	0.0255309	
-76	0.0254839	
-76	0.0257782	
-76	0.0260949	
-75	0.0261086	
-75	0.0263942	
-75	0.026809	
-75	0.0269404	
-75	0.0266505	
-75	0.0269623	
-74	0.0270249	
-74	0.027642	
-74	0.0280659	
-74	0.0283314	
-74	0.0285522	
-73	0.0285774	
-73	0.0288744	
-73	0.0292317	
-73	0.0295131	
-73	0.0300182	
-73	0.0300433	
-72	0.030503	
-72	0.0310538	
