Óãîë, ãðàä - ÄÍ	Ñèãíàë äåòåêòîðà, î.å. - ÄÍ	
-90	0.0126825	
-90	0.000869954	
-90	0.000829814	
-89	0.00142931	
-89	0.00173226	
-89	0.000736754	
-89	0.00205077	
-89	0.00164019	
-89	0.00181049	
-88	0.00192997	
-88	0.00183234	
-88	0.00143768	
-88	0.00269323	
-88	0.00195536	
-87	0.00140513	
-87	0.00157299	
-87	0.00101662	
-87	0.00127297	
-87	0.000949532	
-87	0.00148575	
-86	0.00221507	
-86	0.00255644	
-86	0.00317599	
-86	0.00273041	
-86	0.0018983	
-86	0.00269179	
-85	0.0020874	
-85	0.00207319	
-85	0.00146241	
-85	0.00216814	
-85	0.00175087	
-84	0.00231174	
-84	0.00191825	
-84	0.00348341	
-84	0.00137155	
-84	0.00183415	
-84	0.00189069	
-83	0.00236428	
-83	0.00192216	
-83	0.00178	
-83	0.00183423	
-83	0.00127758	
-82	0.001779	
-82	0.00141749	
-82	0.00166765	
-82	0.00135273	
-82	0.00206103	
-82	0.00332773	
-81	0.00314131	
-81	0.00317701	
-81	0.00308825	
-81	0.00222163	
-81	0.00365271	
-80	0.00487574	
-80	0.00400568	
-80	0.00324878	
-80	0.00280859	
-80	0.00234231	
-80	0.00307742	
-79	0.00361807	
-79	0.00390507	
-79	0.00485099	
-79	0.00341259	
-79	0.00548552	
-78	0.00514802	
-78	0.00316893	
-78	0.00379656	
-78	0.00359474	
-78	0.00475435	
-78	0.00314847	
-77	0.00374777	
-77	0.00372929	
-77	0.00286	
-77	0.00340091	
-77	0.00478769	
-76	0.0044027	
-76	0.00487974	
-76	0.00533199	
-76	0.00613924	
-76	0.0062076	
-76	0.00649653	
-75	0.00706886	
-75	0.00636344	
-75	0.00791171	
-75	0.00787462	
-75	0.00958954	
-75	0.00780693	
-74	0.00741669	
-74	0.00798717	
-74	0.00769597	
-74	0.0074448	
-74	0.00783437	
-73	0.0072996	
-73	0.00667968	
-73	0.00706654	
-73	0.005197	
-73	0.00816152	
-73	0.010544	
-72	0.00937238	
-72	0.00676161	
-72	0.00800536	
-72	0.00848197	
-72	0.00748956	
-71	0.00859675	
-71	0.00914032	
-71	0.00895951	
-71	0.0090447	
-71	0.00971769	
-71	0.010018	
-70	0.00944647	
-70	0.010435	
-70	0.0100756	
-70	0.0100614	
-70	0.0105965	
-69	0.0109718	
-69	0.0101119	
-69	0.0108718	
-69	0.0115742	
-69	0.0116855	
-69	0.0109142	
-68	0.012024	
-68	0.0117424	
-68	0.0125787	
-68	0.0146194	
-68	0.0143535	
-68	0.0138462	
-67	0.0138931	
-67	0.0148756	
-67	0.015029	
-67	0.0157221	
-67	0.0156526	
-66	0.0148722	
-66	0.0160611	
-66	0.0163703	
-66	0.0173669	
-66	0.0172744	
-66	0.0178657	
-65	0.0172658	
-65	0.018174	
-65	0.0198663	
-65	0.0189093	
-65	0.0189278	
-64	0.0181769	
-64	0.0193962	
-64	0.019572	
-64	0.0187364	
-64	0.0189369	
-64	0.0200367	
-63	0.0210396	
-63	0.0207293	
-63	0.0214667	
-63	0.0219973	
-63	0.0223131	
-62	0.022353	
-62	0.022954	
-62	0.0227102	
-62	0.0242947	
-62	0.0246381	
-62	0.0249279	
-61	0.0264602	
-61	0.0251253	
-61	0.0254601	
-61	0.0251209	
-61	0.0257512	
-60	0.0260854	
-60	0.0269002	
-60	0.025861	
-60	0.026634	
-60	0.0262778	
-60	0.0247385	
-59	0.025925	
-59	0.0263455	
-59	0.0264333	
-59	0.0268921	
-59	0.0263393	
-58	0.026795	
-58	0.0265568	
-58	0.0274519	
-58	0.0267315	
-58	0.0277569	
-58	0.0285575	
-57	0.0286747	
-57	0.028857	
-57	0.0285772	
-57	0.0295118	
-57	0.0284834	
-57	0.0293399	
-56	0.0297842	
-56	0.0291635	
-56	0.0280191	
-56	0.0296493	
-56	0.0288754	
-55	0.0287231	
-55	0.0286887	
-55	0.0285748	
-55	0.0289464	
-55	0.0302571	
-55	0.0296198	
-54	0.0293623	
-54	0.0321732	
-54	0.0302534	
-54	0.0294328	
-54	0.0294973	
-53	0.030197	
-53	0.0307447	
-53	0.0306874	
-53	0.0303828	
-53	0.0300113	
-53	0.0303971	
-52	0.029757	
-52	0.0305938	
-52	0.0292143	
-52	0.0288702	
-52	0.0289806	
-51	0.0284281	
-51	0.0283949	
-51	0.029106	
-51	0.0274519	
-51	0.0268724	
-51	0.0264217	
-50	0.0253288	
-50	0.0247094	
-50	0.0250151	
-50	0.0251105	
-50	0.0249037	
-50	0.0243203	
-49	0.0228271	
-49	0.0226902	
-49	0.0224207	
-49	0.0219741	
-49	0.0210935	
-48	0.0208829	
-48	0.0195431	
-48	0.0192056	
-48	0.0192362	
-48	0.0193367	
-48	0.0188407	
-47	0.0188148	
-47	0.0169046	
-47	0.0164343	
-47	0.016998	
-47	0.0166962	
-46	0.016881	
-46	0.0167233	
-46	0.0165672	
-46	0.0155237	
-46	0.0152205	
-46	0.0160224	
-45	0.0148394	
-45	0.0154874	
-45	0.0146802	
-45	0.0143104	
-45	0.0142398	
-44	0.013663	
-44	0.0134388	
-44	0.0130218	
-44	0.0131757	
-44	0.0129236	
-44	0.0126507	
-43	0.013008	
-43	0.0129681	
-43	0.0131315	
-43	0.0131286	
-43	0.0129113	
-42	0.0132551	
-42	0.0134406	
-42	0.0135711	
-42	0.0137197	
-42	0.0138546	
-42	0.0145254	
-41	0.0147738	
-41	0.014883	
-41	0.015505	
-41	0.0157047	
-41	0.0169418	
-40	0.0170391	
-40	0.0174254	
-40	0.0182665	
-40	0.0199805	
-40	0.0204897	
-40	0.0211892	
-39	0.0228927	
-39	0.0234723	
-39	0.0241013	
-39	0.0256217	
-39	0.0262935	
-39	0.0274711	
-38	0.0283065	
-38	0.0292241	
-38	0.0303866	
-38	0.030929	
-38	0.0325453	
-37	0.0341743	
-37	0.0358981	
-37	0.037397	
-37	0.0378695	
-37	0.0392302	
-37	0.0405524	
-36	0.0438772	
-36	0.0448939	
-36	0.0473208	
-36	0.0497052	
-36	0.0473958	
-35	0.0531281	
-35	0.0527539	
-35	0.053929	
-35	0.0563806	
-35	0.0580272	
-35	0.05867	
-34	0.061414	
-34	0.0655207	
-34	0.0640271	
-34	0.0662162	
-34	0.0702082	
-33	0.0729645	
-33	0.0746214	
-33	0.0790941	
-33	0.0819773	
-33	0.0824611	
-33	0.0841744	
-32	0.0864506	
-32	0.0911247	
-32	0.0932356	
-32	0.0944358	
-32	0.0966508	
-32	0.100495	
-31	0.101301	
-31	0.10469	
-31	0.103229	
-31	0.10802	
-31	0.109462	
-30	0.108148	
-30	0.113385	
-30	0.117931	
-30	0.1172	
-30	0.114203	
-30	0.115903	
-29	0.118792	
-29	0.12235	
-29	0.125623	
-29	0.13105	
-29	0.131754	
-28	0.133465	
-28	0.134574	
-28	0.13541	
-28	0.139277	
-28	0.139608	
-28	0.14147	
-27	0.143632	
-27	0.141954	
-27	0.142974	
-27	0.143969	
-27	0.145076	
-26	0.145196	
-26	0.151357	
-26	0.145708	
-26	0.148532	
-26	0.151487	
-26	0.151632	
-25	0.151033	
-25	0.151569	
-25	0.153949	
-25	0.154932	
-25	0.152177	
-24	0.151657	
-24	0.151731	
-24	0.149516	
-24	0.151045	
-24	0.14605	
-24	0.146292	
-23	0.14512	
-23	0.146189	
-23	0.144111	
-23	0.141527	
-23	0.145036	
-22	0.144164	
-22	0.140037	
-22	0.141608	
-22	0.140273	
-22	0.138377	
-22	0.138675	
-21	0.134753	
-21	0.133775	
-21	0.135609	
-21	0.131852	
-21	0.127692	
-21	0.130142	
-20	0.128947	
-20	0.125973	
-20	0.125279	
-20	0.124154	
-20	0.125471	
-19	0.125418	
-19	0.123427	
-19	0.12804	
-19	0.128628	
-19	0.130414	
-19	0.131296	
-18	0.132791	
-18	0.133775	
-18	0.133466	
-18	0.135612	
-18	0.136116	
-17	0.141137	
-17	0.144694	
-17	0.149741	
-17	0.154465	
-17	0.161666	
-17	0.162953	
-16	0.168978	
-16	0.174805	
-16	0.180322	
-16	0.186444	
-16	0.195538	
-15	0.203698	
-15	0.209564	
-15	0.219487	
-15	0.229206	
-15	0.237319	
-15	0.244789	
-14	0.252551	
-14	0.259566	
-14	0.271127	
-14	0.280883	
-14	0.292064	
-14	0.301088	
-13	0.311874	
-13	0.324671	
-13	0.337354	
-13	0.348712	
-13	0.363302	
-12	0.380038	
-12	0.39085	
-12	0.401186	
-12	0.413965	
-12	0.434471	
-12	0.446967	
-11	0.465427	
-11	0.478133	
-11	0.495683	
-11	0.510955	
-11	0.528916	
-10	0.542138	
-10	0.559643	
-10	0.578888	
-10	0.600099	
-10	0.620083	
-10	0.633434	
