Óãîë, ãðàä - ÄÍ	Ñèãíàë äåòåêòîðà, î.å. - ÄÍ	
-90	0.00928343	
-90	0.00974958	
-90	0.00986539	
-89	0.0101904	
-89	0.010398	
-89	0.0106325	
-89	0.0101216	
-89	0.0101583	
-89	0.00992074	
-88	0.00944837	
-88	0.00933666	
-88	0.00912867	
-88	0.00960178	
-88	0.00964315	
-87	0.00925674	
-87	0.00912982	
-87	0.00877506	
-87	0.00827515	
-87	0.00825607	
-87	0.00801269	
-86	0.00800545	
-86	0.00829751	
-86	0.00802863	
-86	0.00822416	
-86	0.00831096	
-86	0.00798021	
-85	0.00821983	
-85	0.00810972	
-85	0.00820365	
-85	0.00883397	
-85	0.0090241	
-84	0.00927844	
-84	0.00945028	
-84	0.00948505	
-84	0.00989005	
-84	0.0100377	
-84	0.0102782	
-83	0.0109575	
-83	0.0111566	
-83	0.0112865	
-83	0.0117274	
-83	0.011582	
-82	0.0127003	
-82	0.0139438	
-82	0.0151153	
-82	0.0154518	
-82	0.01536	
-82	0.0155789	
-81	0.0153286	
-81	0.0149362	
-81	0.0143207	
-81	0.0146633	
-81	0.0145262	
-80	0.0153887	
-80	0.015179	
-80	0.0151466	
-80	0.0141456	
-80	0.013503	
-80	0.014222	
-79	0.0143323	
-79	0.0146971	
-79	0.0156075	
-79	0.0162557	
-79	0.0162472	
-78	0.0163202	
-78	0.015499	
-78	0.0151114	
-78	0.0147139	
-78	0.0144149	
-78	0.0148778	
-77	0.0156414	
-77	0.0171982	
-77	0.0184678	
-77	0.0192698	
-77	0.0188713	
-76	0.0191674	
-76	0.0192922	
-76	0.0196883	
-76	0.0197913	
-76	0.0196118	
-76	0.0198759	
-75	0.0201419	
-75	0.0196735	
-75	0.0203994	
-75	0.0209768	
-75	0.0218711	
-75	0.022037	
-74	0.0252745	
-74	0.0258773	
-74	0.0254634	
-74	0.0292462	
-74	0.0289177	
-73	0.0275311	
-73	0.0287346	
-73	0.0299633	
-73	0.0292666	
-73	0.0309996	
-73	0.0293539	
-72	0.0309721	
-72	0.0306081	
-72	0.0324911	
-72	0.0332769	
-72	0.0342886	
-71	0.0351568	
-71	0.0366133	
-71	0.0353477	
-71	0.0344979	
-71	0.0366658	
-71	0.037592	
-70	0.0378183	
-70	0.0366068	
-70	0.0373903	
-70	0.0373713	
-70	0.0382221	
-69	0.0399476	
-69	0.0410623	
-69	0.0413674	
-69	0.0411285	
-69	0.0419329	
-69	0.0425598	
-68	0.0440914	
-68	0.0473094	
-68	0.0510076	
-68	0.052615	
-68	0.0475683	
-68	0.0457379	
-67	0.050218	
-67	0.0472887	
-67	0.0503222	
-67	0.0549506	
-67	0.0561698	
-66	0.0568506	
-66	0.0561307	
-66	0.0539076	
-66	0.0578564	
-66	0.0574629	
-66	0.0588234	
-65	0.0557512	
-65	0.0557106	
-65	0.061972	
-65	0.0545509	
-65	0.0560307	
-64	0.0575749	
-64	0.0521808	
-64	0.0612085	
-64	0.066423	
-64	0.0582166	
-64	0.0564855	
-63	0.0585671	
-63	0.0545232	
-63	0.0577077	
-63	0.0575222	
-63	0.057842	
-62	0.0579507	
-62	0.0618355	
-62	0.0604178	
-62	0.0649265	
-62	0.0626891	
-62	0.070378	
-61	0.0680364	
-61	0.0723203	
-61	0.0824243	
-61	0.0859014	
-61	0.0842686	
-60	0.0827983	
-60	0.0860332	
-60	0.0893558	
-60	0.0909556	
-60	0.0932507	
-60	0.0975914	
-59	0.100701	
-59	0.098414	
-59	0.0968209	
-59	0.0974799	
-59	0.0990914	
-58	0.0989613	
-58	0.0976342	
-58	0.0936018	
-58	0.0886306	
-58	0.0857574	
-58	0.0868778	
-57	0.0881993	
-57	0.088462	
-57	0.0866186	
-57	0.0832284	
-57	0.0833162	
-57	0.0854705	
-56	0.0889549	
-56	0.0904708	
-56	0.0864187	
-56	0.0841967	
-56	0.0882644	
-55	0.089227	
-55	0.0824208	
-55	0.0751311	
-55	0.0798144	
-55	0.0759359	
-55	0.0761118	
-54	0.0805173	
-54	0.09006	
-54	0.0840552	
-54	0.0817823	
-54	0.0750737	
-53	0.0712724	
-53	0.0748233	
-53	0.0769809	
-53	0.0773338	
-53	0.0762721	
-53	0.0752932	
-52	0.0734578	
-52	0.0721943	
-52	0.0715431	
-52	0.0711496	
-52	0.0696038	
-51	0.0674917	
-51	0.0652958	
-51	0.0647245	
-51	0.0658396	
-51	0.067461	
-51	0.0679689	
-50	0.0670507	
-50	0.0656082	
-50	0.0634825	
-50	0.0621122	
-50	0.060201	
-50	0.0577862	
-49	0.0549119	
-49	0.052336	
-49	0.0507544	
-49	0.049879	
-49	0.0494376	
-48	0.0492052	
-48	0.0492588	
-48	0.0476939	
-48	0.0463063	
-48	0.0459816	
-48	0.0451515	
-47	0.0446025	
-47	0.0441104	
-47	0.0430341	
-47	0.042816	
-47	0.0409212	
-46	0.0401891	
-46	0.0392159	
-46	0.0368232	
-46	0.0351024	
-46	0.0333839	
-46	0.0315236	
-45	0.0312131	
-45	0.0308873	
-45	0.0313651	
-45	0.0316916	
-45	0.0309035	
-44	0.0301882	
-44	0.0303086	
-44	0.0311032	
-44	0.031376	
-44	0.0308463	
-44	0.031048	
-43	0.0308424	
-43	0.0308406	
-43	0.0313708	
-43	0.0309761	
-43	0.0309559	
-42	0.0316621	
-42	0.0326593	
-42	0.0337322	
-42	0.0344904	
-42	0.0356063	
-42	0.0372811	
-41	0.0378863	
-41	0.0395227	
-41	0.0412748	
-41	0.0430342	
-41	0.0442616	
-40	0.0457611	
-40	0.0465044	
-40	0.0481051	
-40	0.0512458	
-40	0.0530127	
-40	0.0548699	
-39	0.0556454	
-39	0.0565276	
-39	0.0584595	
-39	0.0626836	
-39	0.0649336	
-39	0.0671613	
-38	0.07423	
-38	0.0773345	
-38	0.0797893	
-38	0.0831241	
-38	0.0890202	
-37	0.0912469	
-37	0.0907091	
-37	0.0950896	
-37	0.0995962	
-37	0.103793	
-37	0.107991	
-36	0.114841	
-36	0.119723	
-36	0.121311	
-36	0.123642	
-36	0.127037	
-35	0.131619	
